,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.22470708500059622,-0.5794828419782803,-0.6237627438628732,-0.6346727947300247,-0.573355615729047,-0.4625845461679304,-0.9149732127057437,-0.44954843645450177,-0.23325131650970263,-0.18620377767470225,-0.5076507995204527,-0.15454643475770025,-0.10587228696627561,0.16457645141520696,-0.017558512759095573,-0.43396295273366703
1,-0.34173040908863334,-0.7149952094894603,-0.021535828693730445,-0.3425035744176255,-0.9095501292340396,-0.49920685036498197,-0.6956597418561087,-1.3305505731519993,-0.11528512601550418,0.15172562044382,-0.38908457130267193,0.24556559603556313,-0.7465989411521726,-0.18061661722116165,-0.19599665656228935,-0.4215303386890018
2,-0.3238839451212835,-0.19515250918771082,-0.5783602907584368,-0.5089210940018677,-0.4421813483313261,-0.6061277374541771,-1.010868299171532,-0.3446841110913217,-0.1995797567655815,-0.1394222932864106,-0.4419066176674517,-0.30997235843368237,-0.35907289959335387,0.2939213299243537,-0.2760555145469522,-0.33872092894944056
3,-0.13054659743086194,-0.7190218205128589,-0.34515829671198367,-0.5075145319949073,-0.2183920822516706,-0.6103449006145605,-0.8883770674295312,-0.65553274913411,-0.10302657580020132,-0.24299048551679153,-0.8408863137991367,-0.2648859349477542,-0.5631408416152984,0.24555892370017493,0.2322775357816829,-0.6542153273376964
4,-0.40863179718911485,-0.3511734900228138,-0.2872969675615887,-0.8857896798062069,-0.4108115080402633,-0.5605176789161391,-0.7283050537793742,-0.28293981933364426,-0.41200606226252506,-0.18521294050366707,-0.29194887288006693,-0.17987495569016684,0.15699547131917455,-0.11839172022953272,-0.37035265427983055,-0.6144350527405523
5,-0.24671609623600183,-0.08123279524282366,0.007475021370243443,-0.4294746789025811,-0.8689545466543007,-1.121248179398777,-0.8579539922338065,-0.5910923371383633,0.02737338899886513,-0.1363460138209446,-0.47634417805252266,-0.2554417628394927,-0.040938761681011196,-0.19766837341587173,0.015081633961933131,-0.3826961228780646
6,-0.4728877053866901,-0.46827833756513815,-0.6387662687291467,-0.5932222299809803,-0.78185119657384,-0.3419903553478786,-0.35892603770716486,0.01547312014427735,-0.19186063776489568,-0.47744742884932573,-0.08256843851663466,-0.6203619420196257,-0.14479893477060443,0.16475124243595174,-0.18988591621486453,-0.4186029358326538
7,-0.4712730361846459,-0.24571991407663019,-0.6586435834585965,-0.565989466486534,-0.9136386598564991,-0.6048824364199091,-0.7377632383925812,-0.47334346493341045,-0.2680900572949983,0.06291804806543218,-0.6092279810849075,-0.1443373374897006,-0.10587066938608782,-0.16049908681233085,-0.0863789038980063,-0.04387439165048821
8,-0.3075387676624083,-0.10051786799074408,-0.34995500321875134,-0.6978894349835539,-0.30140334700854876,-1.1999275251209731,-0.6596829273068885,-0.6464083033517437,0.21306782067626218,-0.1769870071575527,-0.8258250481391939,-0.2744985456431993,-0.42346727483171964,0.3448943598986632,-0.00022783180519465857,-0.4574149612113139
9,-0.32851705486464455,-0.2947900136830241,-0.05995492540954898,-0.9801707485982876,0.29960906983316177,-1.050607934984743,-1.005600083332933,-0.442349967306799,-0.5680501404263063,0.011776841941888648,-0.5749692521222116,-0.34185102200541506,-0.4056149184030094,-0.03906442940106962,0.1513886086289384,-0.6290665213598576
10,-0.6958467888929839,-0.6193451775777848,-0.1364312278603301,-0.9388499964222345,-0.6419543806821287,-0.4246889831761047,-0.2824509268746429,0.048573905393131535,-0.585381009236742,-0.38735231944918475,-0.3271773549377239,-0.4856734913006141,0.2660336991004338,-0.2923493322841364,0.12127901662860267,-0.491432222557801
